time,x,y,z
2.798,-0.01,-0.01,0.02
2.820,0.01,-0.01,0.04
2.822,-0.01,0.01,0.02
2.823,0.01,0.01,0.03
2.824,0.00,-0.02,0.03
2.825,0.01,-0.01,0.03
2.825,-0.02,0.01,0.02
2.829,-0.01,0.00,0.02
2.834,-0.01,0.02,0.01
2.846,0.02,0.01,0.03
2.847,-0.01,0.00,0.03
2.848,0.02,-0.01,0.02
2.880,0.01,-0.01,0.03
2.883,0.02,-0.01,0.02
2.884,0.01,0.02,0.03
2.886,-0.03,-0.01,0.01
2.887,0.00,-0.01,0.02
2.887,0.00,0.01,0.03
2.888,-0.04,0.00,0.02
2.889,0.02,0.00,0.04
2.890,0.00,0.00,0.04
2.890,-0.02,-0.01,0.03
2.903,-0.01,0.01,0.04
2.904,-0.00,0.01,0.03
2.907,0.02,0.01,0.03
2.907,0.02,0.01,0.04
2.913,0.01,0.00,0.04
2.917,0.02,-0.00,0.04
2.935,-0.01,-0.00,0.05
2.938,0.02,-0.02,0.04
2.939,-0.02,-0.01,0.04
2.940,-0.01,-0.01,0.04
2.940,-0.01,0.01,0.04
2.943,-0.02,0.00,0.03
2.948,0.01,-0.01,0.03
2.966,-0.01,0.00,0.03
2.967,-0.00,0.00,0.03
2.968,0.01,-0.01,0.05
2.969,-0.01,-0.01,0.03
2.970,0.00,-0.00,0.04
2.985,0.00,-0.00,0.04
2.986,-0.02,0.00,0.03
2.987,-0.02,0.01,0.04
2.988,-0.01,0.00,0.03
2.993,0.01,-0.00,0.02
2.996,0.01,-0.00,0.02
3.011,-0.03,0.02,0.02
3.013,-0.02,-0.00,0.02
3.015,0.02,0.02,0.03
3.016,-0.02,0.01,0.02
3.041,-0.02,0.03,0.03
3.044,-0.00,0.02,0.03
3.046,-0.00,-0.00,0.04
3.047,-0.02,0.02,0.03
3.047,-0.04,0.00,0.04
3.049,0.01,0.00,0.03
3.050,0.01,-0.01,0.03
3.051,0.00,0.01,0.05
3.072,-0.01,0.01,0.04
3.073,-0.01,-0.00,0.03
3.074,0.03,0.02,0.04
3.074,0.01,0.00,0.04
3.076,0.03,0.02,0.03
3.077,0.01,0.03,0.04
3.081,0.00,0.01,0.04
3.085,0.01,-0.01,0.04
3.100,0.00,0.01,0.04
3.114,0.01,0.01,0.04
3.115,-0.02,-0.01,0.05
3.117,-0.01,0.02,0.04
3.119,0.00,-0.01,0.04
3.120,-0.01,0.01,0.05
3.121,-0.00,-0.02,0.03
3.122,0.02,-0.01,0.05
3.148,-0.00,-0.01,0.03
3.152,0.01,-0.01,0.03
3.153,-0.02,-0.00,0.05
3.154,-0.02,-0.01,0.05
3.156,-0.02,-0.01,0.05
3.157,0.01,-0.02,0.05
3.158,-0.00,-0.01,0.05
3.159,0.01,-0.01,0.04
3.160,0.02,-0.01,0.04
3.176,0.00,-0.01,0.04
3.178,0.01,-0.00,0.05
3.180,0.03,-0.02,0.04
3.181,-0.02,-0.00,0.03
3.182,-0.01,0.00,0.05
3.205,0.02,-0.01,0.04
3.206,-0.01,-0.00,0.05
3.207,0.02,0.01,0.04
3.209,-0.02,0.00,0.04
3.210,0.02,0.00,0.04
3.210,0.01,0.01,0.03
3.214,0.00,0.01,0.04
3.217,0.02,-0.00,0.04
3.232,-0.02,-0.01,0.03
3.233,0.02,0.01,0.04
3.235,0.03,-0.00,0.04
3.236,0.01,-0.01,0.03
3.250,0.01,0.01,0.04
3.252,0.00,0.02,0.03
3.254,-0.01,0.01,0.04
3.255,-0.00,0.00,0.03
3.286,-0.00,0.01,0.04
3.289,-0.01,0.03,0.04
3.290,0.02,0.01,0.04
3.290,0.03,-0.01,0.05
3.291,-0.01,0.01,0.05
3.292,0.05,-0.00,0.04
3.293,0.02,0.01,0.04
3.294,0.01,-0.01,0.05
3.294,-0.01,-0.00,0.04
3.336,0.01,0.01,0.03
3.337,0.01,-0.02,0.05
3.338,0.04,-0.02,0.04
3.339,-0.01,-0.00,0.06
3.340,0.02,-0.00,0.04
3.340,-0.01,-0.01,0.03
3.341,0.04,-0.01,0.04
3.342,-0.04,0.01,0.03
3.343,0.01,-0.01,0.04
3.344,-0.02,0.01,0.04
3.345,-0.02,0.01,0.04
3.345,0.01,-0.02,0.04
3.358,0.02,0.01,0.03
3.361,0.01,0.01,0.04
3.362,-0.01,0.01,0.03
3.364,0.00,0.01,0.04
3.368,0.02,-0.00,0.04
3.400,-0.02,-0.00,0.04
3.402,-0.00,0.01,0.03
3.404,-0.01,-0.01,0.03
3.405,0.04,0.01,0.05
3.406,-0.02,0.03,0.04
3.407,-0.01,0.01,0.04
3.410,-0.02,0.00,0.04
3.411,0.00,-0.00,0.03
3.412,-0.01,0.01,0.05
3.413,-0.02,-0.00,0.03
3.420,-0.01,0.01,0.03
3.420,-0.01,0.01,0.03
3.428,0.00,0.00,0.05
3.433,-0.00,-0.01,0.03
3.434,-0.02,-0.01,0.03
3.451,0.03,-0.01,0.03
3.452,0.00,-0.01,0.03
3.453,0.01,-0.02,0.03
3.454,-0.03,-0.01,0.04
3.458,-0.01,-0.03,0.03
3.464,0.00,-0.01,0.03
3.480,0.01,0.00,0.05
3.483,0.00,-0.00,0.03
3.484,-0.01,0.01,0.02
3.487,0.05,-0.00,0.02
3.488,0.02,-0.01,0.03
3.489,0.00,-0.03,0.04
3.502,-0.00,-0.01,0.01
3.506,0.01,-0.01,0.03
3.507,0.00,0.01,0.02
3.509,0.04,0.00,0.03
3.511,0.01,-0.01,0.03
3.542,-0.04,0.01,0.03
3.543,0.02,0.00,0.03
3.544,-0.01,0.04,0.02
3.545,0.02,0.00,0.03
3.546,0.00,0.00,0.02
3.556,0.01,-0.01,0.03
3.560,0.03,0.01,0.02
3.565,-0.02,-0.02,0.03
3.566,-0.03,0.00,0.03
3.566,0.04,0.01,0.03
